strDrink,Ingredients,Measure,strInstructions
Whiskey Sour,"['Blended whiskey', 'Lemon', 'Powdered sugar', 'Cherry', 'Lemon']","['2 oz ', 'Juice of 1/2 ', '1/2 tsp ', '1 ', '1/2 slice ']","Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
Whisky Mac,"['Scotch', 'Wine']","['1 1/2 oz ', '1 oz Green Ginger ']",Pour both of the ingredients into a wine goblet with no ice.
White Lady,"['Gin', 'Triple Sec', 'Lemon Juice']","['4cl', '3cl', '2cl']",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.
Whitecap Margarita,"['Ice', 'Tequila', 'Cream of coconut', 'Lime juice']","['1 cup ', '2 oz ', '1/4 cup ', '3 tblsp fresh ']",Place all ingredients in a blender and blend until smooth. This makes one drink.
Wine Cooler,"['Red wine', 'Lemon-lime soda', 'Ice']","['2 oz white or ', '5 oz ', ' cubes\n']",Mix wine and soft drink. Pour into glass. Add ice.
Wine Punch,"['Red wine', 'Lemon', 'Orange juice', 'Orange', 'Pineapple juice']","['1 bottle ', '2 ', '1 cup ', '3 ', '1 cup ']",Combine all of the ingredients and pour over a block of ice.
Yellow Bird,"['White Rum', 'Galliano', 'Triple Sec', 'Lime Juice']","['3 cl', '1.5 cl', '1.5 cl', '1.5 cl']",Shake and strain into a chilled cocktail glass
Zambeer,"['Sambuca', 'Root beer', 'Ice']","['1 1/2 oz ', 'Add 10 oz ', ' cubes\n']",Mix sambuca with rootbeer and stir. Add ice
Zenmeister,"['Jägermeister', 'Root beer']","['1/2 oz ', '1/2 oz ']",Mix together and enjoy
Ziemes Martini Apfelsaft,"['Vermouth', 'Apple juice']","['4 cl ', '16 cl ']",Serve without ice. At least the juice shold have room temperature.
Zima Blaster,"['Zima', 'Chambord raspberry liqueur']","['12 oz ', '3 oz ']","Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy."
Zimadori Zinger,"['Midori melon liqueur', 'Zima']","['1.5 oz ', '12 oz ']",Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.
Zinger,"['Peachtree schnapps', 'Surge']","['4 shots ', '4 shots ']",Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.
Zipperhead,"['Chambord raspberry liqueur', 'Vodka', 'Soda water']","['1 shot ', '1 shot ', 'Fill with ']","Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top)."
Zippy's Revenge,"['Amaretto', 'Rum', 'Kool-Aid']","['2 oz ', '2 oz ', '4 oz Grape ']",Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
Zizi Coin-coin,"['Cointreau', 'Lemon juice', 'Ice', 'Lemon']","['5 cl ', '2 cl ', ' cubes\n', ' or lime\n']","Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass."
Zorbatini,"['Vodka', 'Ouzo']","['1 1/4 oz Stoli ', '1/4 oz ']",Prepare like a Martini. Garnish with a green olive.
Zorro,"['Sambuca', ""Bailey's irish cream"", 'White Creme de Menthe']","['2 cl ', '2 cl ', '2 cl ']",add all and pour black coffee and add whipped cream on top.
